booking_date,booking_date_month,client_code,service_code,service_desc,staff,price,canceled_yes_no,,,,,,
2018-03-14,March,JUNJ01,CON,Consultation,JJ,0,1,,,,,,
2018-03-14,March,NORJ01,SHCM,Men's hair cut,JJ,49.48,1,,,,,,
2018-03-15,March,SCHJ01,CON,Consultation,JJ,0,0,,,,,,
2018-03-15,March,SCHJ02,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-15,March,LEHJ01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-15,March,THOD01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-15,March,KERT01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-15,March,CORS01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-16,March,SLEA01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-16,March,STEH01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-16,March,CHEW01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-16,March,PARC01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-16,March,TSUL01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-16,March,STRH01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-20,March,HUDS01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-20,March,ERWS01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-20,March,HOT01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-20,March,MAIK01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-20,March,NGUS01,SHCW,Women's hair cut,JJ,102,0,,,,,,
2018-03-21,March,BERI01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-21,March,ROLD01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-21,March,POTR01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-21,March,YUES01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-21,March,KRIJ01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-21,March,CASH01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-22,March,HYSA01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-22,March,GALB01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-22,March,TAYD01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-22,March,GOSD01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-22,March,OKEM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-23,March,TAYE01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-23,March,WARG01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-23,March,MOOH01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-23,March,MUMK01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-23,March,STEL01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-23,March,DAV*01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-23,March,DUFD01,CON,Consultation,JJ,0,1,,,,,,
2018-03-24,March,APTM01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-24,March,HIMJ01,CON,Consultation,JJ,0,1,,,,,,
2018-03-27,March,FELH01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-27,March,MINA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-27,March,BRES01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-27,March,BUSC01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-27,March,DESA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-28,March,CAND01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-03-28,March,CAND01,CCAMO,Men's camo color,JJ,45,0,,,,,,
2018-03-28,March,HOP01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-29,March,LINM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-29,March,REDM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-29,March,FLEC01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-03-29,March,WIL*01,SHCW,Women's hair cut,JJ,88.44,1,,,,,,
2018-03-30,March,PRIM01,SHCW,Women's hair cut,JJ,51,0,,,,,,
2018-03-30,March,CHUC01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-01,April,SLEA01,CON,Consultation,HOUSE,0,0,,,,,,
2018-04-01,April,SLEA01,CON,Consultation,HOUSE,0,0,,,,,,
2018-04-03,April,YATT01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-03,April,NICP01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-03,April,DANJ01,SBD,Blowdry,SINEAD,30,0,,,,,,
2018-04-03,April,WONM02,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-03,April,THOW01,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-03,April,DOWR01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-03,April,HILJ01,CFC,Color full color,KELLY,63.13,1,,,,,,
2018-04-03,April,BOSJ01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-03,April,LINJ01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-03,April,BREH01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-03,April,KOOM01,SHCW,Women's hair cut,JJ,88.44,1,,,,,,
2018-04-03,April,SKUD01,SBD5+1,Blow dry bundle 5+1,BECKY,230,0,,,,,,
2018-04-03,April,WONM02,SBD,Blowdry,JJ,44.55,1,,,,,,
2018-04-04,April,COLJ01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-04,April,SLUS01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-04,April,SARA01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-04,April,MARG01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-04,April,SCHH01,SBD,Blowdry,SINEAD,40,0,,,,,,
2018-04-04,April,WOOD01,CTU,Color touch up,KELLY,55,0,,,,,,
2018-04-04,April,BALJ01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-04,April,KEN*01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-04,April,WOOD01,SHCW,Women's hair cut,JJ,92,0,,,,,,
2018-04-04,April,STRH01,CHLFH,Highlights full,KELLY,120,1,,,,,,
2018-04-04,April,SCHH01,CHLFH,Highlights full,KELLY,120,0,,,,,,
2018-04-04,April,SARA01,CBAL,Balayage,KELLY,155.56,1,,,,,,
2018-04-05,April,TINT01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-05,April,SUPR01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-05,April,BREM01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-05,April,PIPJ01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-05,April,LYNG01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-05,April,HOLL01,CTU,Color touch up,KELLY,55,0,,,,,,
2018-04-05,April,DANJ02,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-05,April,SCHJ01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-05,April,COOM01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-05,April,HOLL01,SHCW,Women's hair cut,SINEAD,80,0,,,,,,
2018-04-05,April,JASA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-05,April,VERM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-05,April,JARS01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-05,April,SHIG01,SHCW,Women's hair cut,JJ,92,0,,,,,,
2018-04-05,April,SHIG01,CHLPL,Highlights partial,KELLY,100,0,,,,,,
2018-04-05,April,HILJ01,SBD5+1,Blow dry bundle 5+1,SINEAD,230,0,,,,,,
2018-04-06,April,KLEA01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-06,April,HELJ01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-06,April,NORE01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-06,April,LEEP01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-06,April,PLUJ01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-06,April,THOW02,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-06,April,WAX*01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-06,April,MCLI01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-06,April,MORB01,SBD,Blowdry,BECKY,40,0,,,,,,
2018-04-06,April,BROS01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-06,April,KULR01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-06,April,MORB01,CFC,Color full color,KELLY,70,0,,,,,,
2018-04-06,April,SINM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-06,April,NGUS01,CALC,Accent lights and color,KELLY,90,0,,,,,,
2018-04-07,April,STOD01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-07,April,SINT01,SHCC,Children (under 12),BECKY,30,0,,,,,,
2018-04-07,April,SINW01,SHCC,Children (under 12),JJ,32,0,,,,,,
2018-04-07,April,WILK01,SBD,Blowdry,JJ,42,0,,,,,,
2018-04-07,April,SENM01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-07,April,WANM01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-07,April,BLAJ01,SHCW,Women's hair cut,SINEAD,65,0,,,,,,
2018-04-07,April,JOHJ01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-07,April,KENH01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-07,April,CAYK01,SHCW,Women's hair cut,BECKY,70,0,,,,,,
2018-04-07,April,CAYK01,CFC,Color full color,KELLY,70,0,,,,,,
2018-04-07,April,GALG01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-07,April,DOLD01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-07,April,KURG01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-07,April,WILK01,CHLPHC,Partial highlights and color,KELLY,120,0,,,,,,
2018-04-08,April,CHAG01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-08,April,SCHJ03,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-08,April,DOWR01,SBD,Blowdry,BECKY,50,0,,,,,,
2018-04-08,April,TOPS01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-08,April,HUDM01,SHCW,Women's hair cut,JJ,88.44,1,,,,,,
2018-04-10,April,MCCB01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-10,April,IRWE01,SHCM,Men's hair cut,SINEAD,45,0,,,,,,
2018-04-10,April,IRWE01,CTU,Color touch up,KELLY,55,0,,,,,,
2018-04-10,April,MARD01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-10,April,LANS01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-10,April,SIDA01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-10,April,CARB01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-10,April,KOOM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-10,April,BOWM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-10,April,SAMB01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-10,April,KRIA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-10,April,CULT01,CON,Consultation,SINEAD,8.33,1,,,,,,
2018-04-10,April,PUGS01,CON,Consultation,JJ,0,1,,,,,,
2018-04-11,April,VAUD01,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-11,April,POOD01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-11,April,TRAJ01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-11,April,DOWR01,SBD,Blowdry,SINEAD,45.11,1,,,,,,
2018-04-11,April,HILJ01,SBD,Blowdry,SINEAD,45.11,1,,,,,,
2018-04-11,April,POTR01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-11,April,BROA01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-11,April,GREN01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-11,April,DACJ01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-11,April,RUTA01,CALC,Accent lights and color,KELLY,80,0,,,,,,
2018-04-11,April,GARJ01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-11,April,SPRK01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-11,April,KIMF01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-11,April,ARRM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-11,April,HENI01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-11,April,RUTA01,SHCW,Women's hair cut,JJ,92,0,,,,,,
2018-04-11,April,HOLL01,SBD5+1,Blow dry bundle 5+1,HOUSE,225,0,,,,,,
2018-04-11,April,KUKK01,CON,Consultation,SINEAD,8.33,1,,,,,,
2018-04-12,April,STEB01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-12,April,GUBD01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-12,April,ESKR01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-12,April,BOWV01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-12,April,JIAL01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-12,April,PIVS01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-13,April,MERM01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-13,April,SIRM01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-13,April,BYRP01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-13,April,HILJ01,SBD,Blowdry,BECKY,50,0,,,,,,
2018-04-13,April,DUFD01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-13,April,THOD01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-13,April,CHOC01,SHCW,Women's hair cut,BECKY,67.84,1,,,,,,
2018-04-13,April,ALLM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-13,April,ROSL01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-13,April,MOLA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-13,April,NORJ01,SHCW,Women's hair cut,JJ,88.44,1,,,,,,
2018-04-14,April,WOOJ01,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-14,April,LEEN01,SHCC,Children (under 12),BECKY,50,0,,,,,,
2018-04-14,April,SKUD01,SBD,Blowdry,BECKY,50,0,,,,,,
2018-04-14,April,BONT01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-14,April,SAVP01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-14,April,STOK01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-14,April,SHAG01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-16,April,BLAR01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-17,April,HUYK01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-17,April,COLC01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-17,April,HOG*01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-17,April,JONC01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-17,April,LEEM01,CTU,Color touch up,KELLY,55,0,,,,,,
2018-04-17,April,STEA01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-17,April,GOUE01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-17,April,ROWD01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-17,April,MANL01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-17,April,WEIA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-17,April,LEEM01,SHCW,Women's hair cut,JJ,92,0,,,,,,
2018-04-17,April,BROS01,SBD5+1,Blow dry bundle 5+1,HOUSE,230,0,,,,,,
2018-04-18,April,WELL01,SBD,Blowdry,SINEAD,30,0,,,,,,
2018-04-18,April,MILE01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-18,April,DAVA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-18,April,SORM01,SHCW,Women's hair cut,JJ,92,0,,,,,,
2018-04-18,April,SORM01,CHLPL,Highlights partial,KELLY,100,0,,,,,,
2018-04-18,April,KUKK01,SBD5+1,Blow dry bundle 5+1,HOUSE,250,0,,,,,,
2018-04-18,April,PHIC01,SHCW,Women's hair cut,SINEAD,74.67,1,,,,,,
2018-04-19,April,ZUKS01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-19,April,RABH01,SHCC,Children (under 12),BECKY,30,0,,,,,,
2018-04-19,April,MAKM01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-19,April,BUDG02,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-19,April,JOHD01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-19,April,SCHH01,SBD,Blowdry,BECKY,50,0,,,,,,
2018-04-19,April,HOLL01,SBD,Blowdry,SINEAD,50,0,,,,,,
2018-04-19,April,KEIS01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-19,April,LUL01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-19,April,GRIA01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-19,April,MCGV01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-19,April,BROT01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-19,April,JARM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-19,April,TOHS01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-19,April,COAA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-19,April,VAUD01,SHCW,Women's hair cut,JJ,102,0,,,,,,
2018-04-19,April,CASH01,CON,Consultation,JJ,0,1,,,,,,
2018-04-19,April,DODK01,CON,Consultation,SINEAD,8.33,1,,,,,,
2018-04-20,April,SHIG01,CON,Consultation,BECKY,0,0,,,,,,
2018-04-20,April,FINW01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-20,April,HUDM01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-20,April,FOXS01,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-20,April,BARW01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-20,April,OHAG01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-20,April,WARG01,SBD,Blowdry,JJ,52,0,,,,,,
2018-04-20,April,SEDD01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-20,April,SCOL01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-20,April,KINN01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-20,April,NICM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-20,April,KOSI01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-20,April,MOLA01,SHCW,Women's hair cut,JJ,88.44,1,,,,,,
2018-04-21,April,BARA01,TRE 1,Treatments 1,SINEAD,20,0,,,,,,
2018-04-21,April,DELC01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-21,April,BARA01,SBD,Blowdry,SINEAD,30,0,,,,,,
2018-04-21,April,NIDN01,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-21,April,MCND01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-21,April,SHAA01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-21,April,BUDG02,SHCM,Men's hair cut,SINEAD,41.41,1,,,,,,
2018-04-21,April,HILJ01,SBD,Blowdry,SINEAD,50,0,,,,,,
2018-04-21,April,HEIM01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-21,April,STEI01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-21,April,STEM01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-21,April,WILB01,SDUD,Dry updo,BECKY,60,0,,,,,,
2018-04-21,April,STEM01,SHCW,Women's hair cut,BECKY,67.84,1,,,,,,
2018-04-21,April,RICP01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-21,April,NEML01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-21,April,LEIF01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-21,April,ALIR01,SDUD,Dry updo,JJ,82,0,,,,,,
2018-04-21,April,RUTR01,SHCW,Women's hair cut,JJ,102,0,,,,,,
2018-04-21,April,CORS01,SHCW,Women's hair cut,JJ,102,0,,,,,,
2018-04-22,April,APTM01,SHCM,Men's hair cut,JJ,30,0,,,,,,
2018-04-22,April,FRAW01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-22,April,COLS01,SBD,Blowdry,BECKY,45.26,1,,,,,,
2018-04-22,April,SKUT01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-22,April,BAIL01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-22,April,SARK01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-22,April,WONM02,SBD5+1,Blow dry bundle 5+1,HOUSE,260,0,,,,,,
2018-04-24,April,OWED01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-24,April,HENB01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-24,April,BEAL01,SHCC,Children (under 12),SINEAD,45,0,,,,,,
2018-04-24,April,BEAA01,SHCC,Children (under 12),SINEAD,45,0,,,,,,
2018-04-24,April,SCHJ01,CCAMO,Men's camo color,JJ,45,0,,,,,,
2018-04-24,April,BREF01,SHCM,Men's hair cut,JJ,49.48,1,,,,,,
2018-04-24,April,SKUD01,SBD,Blowdry,BECKY,50,0,,,,,,
2018-04-24,April,MCKT01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-24,April,SCHJ01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-24,April,BERI01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-24,April,KATM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-24,April,LEVL01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-25,April,ZUGL01,SBD,Blowdry,SINEAD,30,0,,,,,,
2018-04-25,April,WRI*01,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-25,April,SLUS01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-25,April,STOV01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-25,April,BOYL01,CMT,Color mini touch up,SINEAD,45,0,,,,,,
2018-04-25,April,ROLD01,SHCM,Men's hair cut,JJ,49.48,1,,,,,,
2018-04-25,April,BOYL01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-25,April,YOUS01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-25,April,HILE01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-25,April,MCGA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-25,April,RUTM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-26,April,RODP01,TRE 1,Treatments 1,SINEAD,20,0,,,,,,
2018-04-26,April,COLR01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-26,April,RODP01,SBD,Blowdry,SINEAD,30,0,,,,,,
2018-04-26,April,MOYJ01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-26,April,BANR01,SBD,Blowdry,BECKY,40,0,,,,,,
2018-04-26,April,KUKK01,SBD,Blowdry,SINEAD,45.11,1,,,,,,
2018-04-26,April,BUSM01,SBD,Blowdry,SINEAD,45.11,1,,,,,,
2018-04-26,April,NIES02,SHCM,Men's hair cut,JJ,49.48,1,,,,,,
2018-04-26,April,HOLL01,SBD,Blowdry,SINEAD,50,0,,,,,,
2018-04-26,April,BROS01,SBD,Blowdry,BECKY,50,0,,,,,,
2018-04-26,April,MOIB01,CTU,Color touch up,KELLY,52.5,1,,,,,,
2018-04-26,April,BANR01,CTU,Color touch up,BECKY,55,0,,,,,,
2018-04-26,April,GALB01,SHCM,Men's hair cut,JJ,60,0,,,,,,
2018-04-26,April,MOIB01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-26,April,BUSM01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-26,April,SMIC01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-26,April,GREM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-26,April,GELK01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-26,April,COLG01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-26,April,CARC01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-27,April,REIM01,SHCM,Men's hair cut,BECKY,30,0,,,,,,
2018-04-27,April,ARMG01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-27,April,OZIS01,SBD,Blowdry,BECKY,30,0,,,,,,
2018-04-27,April,LEWH01,SBD,Blowdry,JJ,32,0,,,,,,
2018-04-27,April,GRET01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-27,April,HARW01,SHCM,Men's hair cut,JJ,40,0,,,,,,
2018-04-27,April,YATT01,SHCM,Men's hair cut,BECKY,50,0,,,,,,
2018-04-27,April,KLEA01,SHCM,Men's hair cut,BECKY,50,0,,,,,,
2018-04-27,April,RANZ01,SHCW,Women's hair cut,BECKY,60,0,,,,,,
2018-04-27,April,MUMK01,SHCW,Women's hair cut,JJ,75,0,,,,,,
2018-04-27,April,KM01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-27,April,LINM02,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-27,April,TINA01,SHCW,Women's hair cut,JJ,82,0,,,,,,
2018-04-27,April,CHEW01,SHCW,Women's hair cut,JJ,102,0,,,,,,
2018-04-27,April,GOSD01,SHCW,Women's hair cut,JJ,102,0,,,,,,
2018-04-27,April,SIRM01,SBD5+1,Blow dry bundle 5+1,HOUSE,250,0,,,,,,
2018-04-27,April,CARC01,CON,Consultation,JJ,0,1,,,,,,
2018-04-28,April,CULT01,CON,Consultation,SINEAD,0,0,,,,,,
2018-04-28,April,MCGA02,SHCM,Men's hair cut,SINEAD,35,0,,,,,,
2018-04-28,April,BISJ01,SBD,Blowdry,JJ,44.55,1,,,,,,
2018-04-28,April,TAYE01,SHCM,Men's hair cut,JJ,49.48,1,,,,,,
2018-04-28,April,RODP01,SBD,Blowdry,SINEAD,50,0,,,,,,
2018-04-28,April,WOOJ01,SBD,Blowdry,SINEAD,50,0,,,,,,
2018-04-28,April,WONM02,SBD,Blowdry,JJ,52,0,,,,,,
2018-04-28,April,ROGE01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-28,April,PHIJ01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
2018-04-28,April,WINL01,SHCW,Women's hair cut,SINEAD,70,0,,,,,,
